Pelicula;F.Alquiler;F.Devolucion;Cliente;Empleado
ARMAGEDDON LOST;25/05/2005 16:12:52;02/06/2005 18:55:52;BRYAN HARDISON;Jon Stephens
RUGRATS SHAKESPEARE;25/05/2005 16:32:19;30/05/2005 10:47:19;JOYCE EDWARDS;Jon Stephens
CANDLES GRAPES;25/05/2005 16:50:20;28/05/2005 18:52:20;MARIE TURNER;Mike Hillyer
METAL ARMAGEDDON;25/05/2005 16:50:28;02/06/2005 22:11:28;LUCY WHEELER;Mike Hillyer
BLOOD ARGONAUTS;25/05/2005 17:22:10;31/05/2005 19:47:10;DOUGLAS GRAF;Mike Hillyer
NETWORK PEAK;25/05/2005 18:28:09;03/06/2005 22:46:09;EDWARD BAUGH;Jon Stephens
AIRPORT POLLOCK;25/05/2005 19:37:47;01/06/2005 23:29:47;BRUCE SCHWARZ;Jon Stephens
DARN FORRESTER;25/05/2005 20:48:50;02/06/2005 21:39:50;HARRY ARCE;Mike Hillyer
KISS GLORY;25/05/2005 22:02:30;31/05/2005 18:06:30;NATHANIEL ADAM;Mike Hillyer
STRANGELOVE DESIRE;25/05/2005 23:59:03;31/05/2005 2:56:03;KATHRYN COLEMAN;Mike Hillyer
SAGEBRUSH CLUELESS;26/05/2005 1:34:28;29/05/2005 4:00:28;RAFAEL ABNEY;Mike Hillyer
OUTBREAK DIVINE;26/05/2005 1:51:48;27/05/2005 5:42:48;RENEE LANE;Mike Hillyer
KISSING DOLLS;26/05/2005 2:26:23;04/06/2005 6:36:23;RITA GRAHAM;Mike Hillyer
MOON BUNCH;26/05/2005 3:07:43;02/06/2005 2:09:43;WESLEY BULL;Jon Stephens
WITCHES PANIC;26/05/2005 3:14:15;03/06/2005 0:24:15;BRYAN HARDISON;Jon Stephens
SUMMER SCARFACE;26/05/2005 3:44:10;28/05/2005 7:13:10;HUGH WALDROP;Jon Stephens
CRANES RESERVOIR;26/05/2005 3:47:39;01/06/2005 2:36:39;JO FOWLER;Jon Stephens
DEEP CRUSADE;26/05/2005 6:01:41;27/05/2005 6:11:41;STELLA MORENO;Mike Hillyer
CALENDAR GUNFIGHT;26/05/2005 6:52:36;31/05/2005 2:47:36;BOB PFEIFFER;Jon Stephens
ATLANTIS CAUSE;26/05/2005 6:55:58;27/05/2005 10:54:58;VIVIAN RUIZ;Mike Hillyer
INSIDER ARIZONA;26/05/2005 7:11:58;28/05/2005 9:06:58;KATHY JAMES;Mike Hillyer
COMFORTS RUSH;26/05/2005 7:13:45;04/06/2005 2:02:45;MARCUS HIDALGO;Jon Stephens
HAROLD FRENCH;26/05/2005 7:30:37;30/05/2005 8:11:37;CLAUDE HERZOG;Mike Hillyer
BETRAYED REAR;26/05/2005 7:59:37;29/05/2005 9:43:37;GRACE ELLIS;Jon Stephens
SLACKER LIAISONS;26/05/2005 8:10:22;27/05/2005 3:55:22;NAOMI JENNINGS;Mike Hillyer
FORREST SONS;26/05/2005 8:44:08;31/05/2005 12:33:08;CHRIS BROTHERS;Jon Stephens
SHANE DARKNESS;26/05/2005 10:14:09;29/05/2005 5:57:09;LESLIE GORDON;Mike Hillyer
PLUTO OLEANDER;26/05/2005 10:15:23;30/05/2005 11:43:23;LEON BOSTIC;Mike Hillyer
VAMPIRE WHALE;26/05/2005 10:18:27;04/06/2005 6:59:27;BRIAN WYMAN;Mike Hillyer
DOOM DANCING;26/05/2005 11:31:50;30/05/2005 15:22:50;JEAN BELL;Mike Hillyer
OUTBREAK DIVINE;26/05/2005 11:38:05;27/05/2005 8:42:05;MABEL HOLLAND;Jon Stephens
CLERKS ANGELS;26/05/2005 11:43:44;28/05/2005 17:28:44;JAMIE WAUGH;Jon Stephens
CALENDAR GUNFIGHT;26/05/2005 12:30:22;27/05/2005 6:49:22;STACEY MONTGOMERY;Mike Hillyer
RULES HUMAN;26/05/2005 12:40:23;04/06/2005 7:22:23;GLADYS HAMILTON;Mike Hillyer
IMPACT ALADDIN;26/05/2005 13:05:08;02/06/2005 15:26:08;KRISTIN JOHNSTON;Mike Hillyer
HIGHBALL POTTER;26/05/2005 14:07:58;31/05/2005 14:03:58;JULIO NOLAND;Jon Stephens
BLINDNESS GUN;26/05/2005 14:30:24;27/05/2005 8:50:24;MATHEW BOLIN;Mike Hillyer
PULP BEVERLY;26/05/2005 15:20:58;31/05/2005 15:58:58;TROY QUIGLEY;Mike Hillyer
DROP WATERFRONT;26/05/2005 15:47:40;30/05/2005 10:07:40;OSCAR AQUINO;Jon Stephens
IDENTITY LOVER;26/05/2005 16:00:49;27/05/2005 10:12:49;VICKIE BREWER;Jon Stephens
AUTUMN CROW;26/05/2005 16:20:56;03/06/2005 12:40:56;JEANNE LAWSON;Jon Stephens
EASY GLADIATOR;26/05/2005 17:16:07;03/06/2005 12:59:07;JEAN BELL;Mike Hillyer
BIRDS PERDITION;26/05/2005 19:21:44;04/06/2005 14:18:44;WILLIE MARKHAM;Jon Stephens
UPRISING UPTOWN;26/05/2005 20:22:12;05/06/2005 0:58:12;ANDRE RAPP;Mike Hillyer
TEEN APOLLO;26/05/2005 20:33:20;27/05/2005 18:23:20;ROSE HOWARD;Jon Stephens
ORANGE GRAPES;26/05/2005 21:13:46;03/06/2005 15:49:46;JESSE SCHILLING;Jon Stephens
ARTIST COLDBLOODED;26/05/2005 22:01:39;04/06/2005 20:24:39;OLGA JIMENEZ;Jon Stephens
NETWORK PEAK;26/05/2005 22:51:37;01/06/2005 0:02:37;VICKI FIELDS;Mike Hillyer
STAGECOACH ARMAGEDDON;26/05/2005 23:22:55;29/05/2005 23:25:55;DORA MEDINA;Jon Stephens
MAIDEN HOME;27/05/2005 1:09:55;31/05/2005 7:01:55;OSCAR AQUINO;Jon Stephens
FREDDY STORM;27/05/2005 2:27:10;03/06/2005 1:26:10;JAMES GANNON;Jon Stephens
SWEDEN SHINING;27/05/2005 2:52:21;01/06/2005 0:55:21;ALLEN BUTTERFIELD;Jon Stephens
MERMAID INSECTS;27/05/2005 3:42:52;01/06/2005 5:23:52;LORRAINE STEPHENS;Jon Stephens
LOCK REAR;27/05/2005 3:47:18;04/06/2005 5:46:18;ELMER NOE;Jon Stephens
DARKO DORADO;27/05/2005 3:55:25;04/06/2005 7:57:25;TONYA CHAPMAN;Jon Stephens
ORANGE GRAPES;27/05/2005 4:53:11;28/05/2005 6:33:11;KATHLEEN ADAMS;Jon Stephens
MULAN MOON;27/05/2005 5:01:28;04/06/2005 5:01:28;MARGARET MOORE;Jon Stephens
ICE CROSSING;27/05/2005 6:12:26;01/06/2005 6:48:26;TOM MILNER;Mike Hillyer
NORTHWEST POLISH;27/05/2005 6:32:30;30/05/2005 6:24:30;VICTOR BARKLEY;Jon Stephens
DRIVING POLISH;27/05/2005 6:48:33;29/05/2005 3:55:33;ALICIA MILLS;Mike Hillyer
RUSH GOODFELLAS;27/05/2005 7:37:02;30/05/2005 5:43:02;ALEXANDER FENNELL;Jon Stephens
EGYPT TENENBAUMS;27/05/2005 7:42:29;04/06/2005 11:20:29;LAWRENCE LAWTON;Jon Stephens
GLASS DYING;27/05/2005 8:16:25;01/06/2005 11:41:25;JEROME KENYON;Mike Hillyer
HAMLET WISDOM;27/05/2005 8:49:21;04/06/2005 14:11:21;CHARLES KOWALSKI;Mike Hillyer
MOVIE SHAKESPEARE;27/05/2005 9:43:25;31/05/2005 12:00:25;BILLY POULIN;Mike Hillyer
DATE SPEED;27/05/2005 10:12:20;03/06/2005 10:37:20;ERIKA PENA;Mike Hillyer
MODERN DORADO;27/05/2005 10:35:27;01/06/2005 13:37:27;LESLIE SEWARD;Jon Stephens
BREAKING HOME;27/05/2005 10:37:27;30/05/2005 5:45:27;CYNTHIA YOUNG;Mike Hillyer
JADE BUNCH;27/05/2005 11:03:55;01/06/2005 11:59:55;SUE PETERS;Jon Stephens
BEACH HEARTBREAKERS;27/05/2005 11:14:42;01/06/2005 14:28:42;WILLIE MARKHAM;Jon Stephens
TROJAN TOMORROW;27/05/2005 12:29:02;28/05/2005 17:36:02;CODY NOLEN;Jon Stephens
CARIBBEAN LIBERTY;27/05/2005 12:48:38;29/05/2005 15:27:38;ROSEMARY SCHMIDT;Mike Hillyer
BASIC EASY;27/05/2005 12:51:44;31/05/2005 8:34:44;DORA MEDINA;Jon Stephens
BROTHERHOOD BLANKET;27/05/2005 13:17:18;30/05/2005 8:53:18;JUSTIN NGO;Jon Stephens
SILENCE KANE;27/05/2005 14:10:58;02/06/2005 10:40:58;CHARLENE ALVAREZ;Jon Stephens
DETECTIVE VISION;27/05/2005 14:48:20;31/05/2005 14:39:20;WILLIE HOWELL;Jon Stephens
SLIPPER FIDELITY;27/05/2005 14:51:45;28/05/2005 19:07:45;DAVID ROYAL;Jon Stephens
LESSON CLEOPATRA;27/05/2005 15:02:10;29/05/2005 10:34:10;DELORES HANSEN;Jon Stephens
JINGLE SAGEBRUSH;27/05/2005 15:07:27;29/05/2005 20:01:27;PEDRO CHESTNUT;Jon Stephens
DRIVER ANNIE;27/05/2005 15:31:55;01/06/2005 11:47:55;DANIELLE DANIELS;Jon Stephens
VOYAGE LEGALLY;27/05/2005 16:40:40;30/05/2005 19:55:40;JULIAN VEST;Jon Stephens
ROCKETEER MOTHER;27/05/2005 16:54:27;04/06/2005 22:26:27;MARIAN MENDOZA;Mike Hillyer
UNTOUCHABLES SUNRISE;27/05/2005 17:52:34;05/06/2005 22:23:34;DORA MEDINA;Jon Stephens
BLACKOUT PRIVATE;27/05/2005 17:54:48;02/06/2005 23:01:48;RONALD WEINER;Jon Stephens
WIFE TURN;27/05/2005 18:00:35;29/05/2005 16:15:35;GEORGE LINTON;Mike Hillyer
HOME PITY;27/05/2005 18:48:41;03/06/2005 16:42:41;TONY CARRANZA;Jon Stephens
STORY SIDE;27/05/2005 18:57:02;05/06/2005 18:38:02;PAULINE HENRY;Mike Hillyer
EXPRESS LONELY;27/05/2005 19:18:54;05/06/2005 23:52:54;STELLA MORENO;Mike Hillyer
PAPI NECKLACE;27/05/2005 19:30:33;30/05/2005 20:53:33;ELAINE STEVENS;Jon Stephens
CONTACT ANONYMOUS;27/05/2005 20:11:47;04/06/2005 21:18:47;MICHELLE CLARK;Mike Hillyer
GUNFIGHT MOON;27/05/2005 20:57:07;29/05/2005 15:52:07;LEROY BUSTAMANTE;Mike Hillyer
NOTORIOUS REUNION;27/05/2005 21:32:42;31/05/2005 0:39:42;TONYA CHAPMAN;Jon Stephens
EXPENDABLE STALLION;27/05/2005 21:36:15;29/05/2005 21:07:15;CLAUDE HERZOG;Mike Hillyer
MALKOVICH PET;27/05/2005 22:16:26;28/05/2005 19:58:26;JILL HAWKINS;Mike Hillyer
LOVE SUICIDES;27/05/2005 22:31:36;03/06/2005 19:12:36;LANCE PEMBERTON;Mike Hillyer
INDEPENDENCE HOTEL;27/05/2005 22:47:39;04/06/2005 21:17:39;CHARLENE ALVAREZ;Jon Stephens
FORRESTER COMANCHEROS;27/05/2005 23:00:25;28/05/2005 21:30:25;AMY LOPEZ;Mike Hillyer
PIZZA JUMANJI;27/05/2005 23:26:45;29/05/2005 21:16:45;RICK MATTOX;Jon Stephens
SPEED SUIT;28/05/2005 0:00:30;28/05/2005 19:18:30;DAVE GARDINER;Jon Stephens
SCORPION APOLLO;28/05/2005 0:09:56;30/05/2005 22:32:56;PAULA BRYANT;Jon Stephens
GUNFIGHT MOON;28/05/2005 0:43:41;04/06/2005 3:56:41;GLORIA COOK;Mike Hillyer
MILLION ACE;28/05/2005 0:54:39;03/06/2005 20:47:39;SHARON ROBINSON;Jon Stephens
LIBERTY MAGNIFICENT;28/05/2005 1:05:07;05/06/2005 19:54:07;BETH FRANKLIN;Jon Stephens
ALIEN CENTER;28/05/2005 2:06:37;29/05/2005 6:57:37;CARMEN OWENS;Mike Hillyer
VIRGINIAN PLUTO;28/05/2005 2:52:14;30/05/2005 21:20:14;CINDY FISHER;Jon Stephens
TIMBERLAND SKY;28/05/2005 3:18:02;30/05/2005 5:32:02;COREY HAUSER;Mike Hillyer
STATE WASTELAND;28/05/2005 3:27:37;04/06/2005 5:47:37;GERALDINE PERKINS;Mike Hillyer
HOMICIDE PEACH;28/05/2005 3:57:28;31/05/2005 5:20:28;MELINDA FERNANDEZ;Mike Hillyer
FARGO GANDHI;28/05/2005 4:27:37;30/05/2005 7:52:37;MANUEL MURRELL;Mike Hillyer
GLEAMING JAWBREAKER;28/05/2005 4:30:05;03/06/2005 10:01:05;WILLIE MARKHAM;Jon Stephens
OZ LIAISONS;28/05/2005 6:17:33;03/06/2005 10:02:33;FRANKLIN TROUTMAN;Jon Stephens
PINOCCHIO SIMON;28/05/2005 6:20:55;05/06/2005 11:48:55;KENNETH GOODEN;Jon Stephens
WHALE BIKINI;28/05/2005 6:42:13;03/06/2005 9:05:13;DEANNA BYRD;Mike Hillyer
HANDICAP BOONDOCK;28/05/2005 7:35:37;02/06/2005 9:08:37;JILL HAWKINS;Mike Hillyer
ARABIA DOGMA;28/05/2005 8:36:22;03/06/2005 10:42:22;MARCUS HIDALGO;Jon Stephens
TRAINSPOTTING STRANGERS;28/05/2005 8:38:43;06/06/2005 13:52:43;LEROY BUSTAMANTE;Mike Hillyer
FOOL MOCKINGBIRD;28/05/2005 9:26:31;01/06/2005 7:28:31;BOBBIE CRAIG;Mike Hillyer
JERICHO MULAN;28/05/2005 9:57:36;31/05/2005 15:44:36;GAIL KNIGHT;Mike Hillyer
DRACULA CRYSTAL;28/05/2005 10:15:04;30/05/2005 8:32:04;MICHELLE CLARK;Mike Hillyer
WIFE TURN;28/05/2005 10:56:09;05/06/2005 15:39:09;APRIL BURNS;Mike Hillyer
FEUD FROGMEN;28/05/2005 12:05:33;30/05/2005 13:45:33;JUDITH COX;Jon Stephens
CONQUERER NUTS;28/05/2005 14:00:03;29/05/2005 17:10:03;TRACY HERRMANN;Mike Hillyer
WIND PHANTOM;28/05/2005 14:01:02;06/06/2005 19:06:02;DORA MEDINA;Jon Stephens
OUTBREAK DIVINE;28/05/2005 15:04:02;05/06/2005 14:47:02;DANIELLE DANIELS;Jon Stephens
BEAST HUNCHBACK;28/05/2005 15:27:22;02/06/2005 20:01:22;TERRENCE GUNDERSON;Mike Hillyer
WHISPERER GIANT;28/05/2005 15:50:07;01/06/2005 19:45:07;CAROLINE BOWMAN;Mike Hillyer
LOST BIRD;28/05/2005 15:54:45;04/06/2005 20:26:45;KEVIN SCHULER;Mike Hillyer
BRANNIGAN SUNRISE;28/05/2005 17:04:43;04/06/2005 19:58:43;HEIDI LARSON;Jon Stephens
ALAMO VIDEOTAPE;28/05/2005 17:37:59;03/06/2005 22:49:59;RALPH MADRIGAL;Jon Stephens
MODERN DORADO;28/05/2005 18:24:43;02/06/2005 19:03:43;STEVE MACKENZIE;Jon Stephens
CABIN FLASH;28/05/2005 18:43:26;30/05/2005 13:39:26;FLOYD GANDY;Mike Hillyer
SECRET GROUNDHOG;28/05/2005 18:45:47;04/06/2005 15:24:47;EARL SHANKS;Mike Hillyer
VELVET TERMINATOR;28/05/2005 18:59:12;04/06/2005 18:06:12;STEVEN CURLEY;Mike Hillyer
BINGO TALENTED;28/05/2005 20:16:20;31/05/2005 16:46:20;BECKY MILES;Jon Stephens
DETAILS PACKER;28/05/2005 21:38:39;29/05/2005 21:37:39;GLENN PULLEN;Mike Hillyer
PHILADELPHIA WIFE;28/05/2005 21:48:51;05/06/2005 16:45:51;RANDALL NEUMANN;Jon Stephens
CONFIDENTIAL INTERVIEW;28/05/2005 21:49:02;31/05/2005 3:07:02;ENRIQUE FORSYTHE;Mike Hillyer
SEA VIRGIN;28/05/2005 21:54:45;29/05/2005 22:32:45;ROBERTO VU;Mike Hillyer
CLUELESS BUCKET;29/05/2005 0:46:53;03/06/2005 23:48:53;JOHNNIE CHISHOLM;Jon Stephens
TELEGRAPH VOYAGE;29/05/2005 1:01:26;07/06/2005 6:21:26;DON BONE;Mike Hillyer
CONFIDENTIAL INTERVIEW;29/05/2005 1:32:10;02/06/2005 3:54:10;CAROL GARCIA;Jon Stephens
CHARIOTS CONSPIRACY;29/05/2005 1:42:31;03/06/2005 2:29:31;YOLANDA WEAVER;Jon Stephens
SUIT WALLS;29/05/2005 2:04:04;04/06/2005 0:47:04;JESSE SCHILLING;Jon Stephens
POLISH BROOKLYN;29/05/2005 3:23:47;31/05/2005 21:27:47;ELAINE STEVENS;Jon Stephens
ZORRO ARK;29/05/2005 3:49:03;31/05/2005 8:29:03;JESSIE BANKS;Jon Stephens
ALONE TRIP;29/05/2005 4:35:29;01/06/2005 7:42:29;KATHLEEN ADAMS;Jon Stephens
FANTASY TROOPERS;29/05/2005 4:37:44;30/05/2005 5:48:44;ALLEN BUTTERFIELD;Jon Stephens
GREATEST NORTH;29/05/2005 4:52:23;02/06/2005 2:27:23;GENE SANBORN;Mike Hillyer
ROXANNE REBEL;29/05/2005 5:34:44;30/05/2005 5:50:44;CHRISTOPHER GRECO;Mike Hillyer
GIANT TROOPERS;29/05/2005 6:08:15;30/05/2005 7:16:15;ROBERTO VU;Mike Hillyer
DURHAM PANKY;29/05/2005 8:28:18;06/06/2005 9:21:18;SARA PERRY;Jon Stephens
CAT CONEHEADS;29/05/2005 9:22:57;01/06/2005 9:10:57;ALICIA MILLS;Mike Hillyer
HORROR REIGN;29/05/2005 9:26:34;05/06/2005 7:28:34;TONI HOLT;Mike Hillyer
DRIFTER COMMANDMENTS;29/05/2005 9:33:33;31/05/2005 11:45:33;AARON SELBY;Jon Stephens
GRAIL FRANKENSTEIN;29/05/2005 10:14:15;04/06/2005 6:30:15;ELLEN SIMPSON;Mike Hillyer
DETECTIVE VISION;29/05/2005 10:16:42;05/06/2005 8:52:42;JUANITA MASON;Jon Stephens
CLUB GRAFFITI;29/05/2005 10:18:59;04/06/2005 5:03:59;LEONA OBRIEN;Jon Stephens
PILOT HOOSIERS;29/05/2005 10:26:29;01/06/2005 10:25:29;MORRIS MCCARTER;Jon Stephens
DOGMA FAMILY;29/05/2005 11:37:35;31/05/2005 16:47:35;VALERIE BLACK;Mike Hillyer
HANDICAP BOONDOCK;29/05/2005 14:09:53;05/06/2005 20:05:53;JAVIER ELROD;Mike Hillyer
CANDLES GRAPES;29/05/2005 14:17:17;06/06/2005 16:46:17;DAWN SULLIVAN;Mike Hillyer
HILLS NEIGHBORS;29/05/2005 14:18:32;06/06/2005 20:14:32;JOHN FARNSWORTH;Mike Hillyer
MILLION ACE;29/05/2005 15:17:28;07/06/2005 10:07:28;ALEXANDER FENNELL;Jon Stephens
STREAK RIDGEMONT;29/05/2005 16:03:03;07/06/2005 11:07:03;SHIRLEY ALLEN;Jon Stephens
NOON PAPI;29/05/2005 16:19:29;02/06/2005 17:22:29;RENE MCALISTER;Jon Stephens
FROST HEAD;29/05/2005 16:30:42;01/06/2005 19:11:42;SONIA GREGORY;Mike Hillyer
POLISH BROOKLYN;29/05/2005 18:18:18;07/06/2005 15:11:18;CONSTANCE REID;Jon Stephens
INDIAN LOVE;29/05/2005 19:10:20;05/06/2005 19:05:20;DELORES HANSEN;Jon Stephens
WEDDING APOLLO;29/05/2005 19:30:42;02/06/2005 16:19:42;TONY CARRANZA;Jon Stephens
WYOMING STORM;29/05/2005 20:14:34;05/06/2005 20:56:34;HENRY BILLINGSLEY;Mike Hillyer
GABLES METROPOLIS;29/05/2005 20:16:12;07/06/2005 17:47:12;EMMA BOYD;Mike Hillyer
CHARADE DUFFEL;29/05/2005 20:26:39;06/06/2005 22:31:39;DUSTIN GILLETTE;Jon Stephens
MILLION ACE;29/05/2005 21:36:00;07/06/2005 17:24:00;COREY HAUSER;Mike Hillyer
RANGE MOONWALKER;29/05/2005 21:39:37;30/05/2005 22:06:37;MARIO CHEATHAM;Mike Hillyer
SCORPION APOLLO;29/05/2005 21:45:32;31/05/2005 19:01:32;KEITH RICO;Mike Hillyer
JUGGLER HARDLY;29/05/2005 21:56:15;08/06/2005 3:18:15;GERTRUDE CASTILLO;Mike Hillyer
ALASKA PHANTOM;29/05/2005 21:58:43;06/06/2005 0:54:43;BYRON BOX;Mike Hillyer
GOLDMINE TYCOON;29/05/2005 22:16:42;06/06/2005 1:38:42;BILLY POULIN;Mike Hillyer
SHOW LORD;29/05/2005 23:24:30;30/05/2005 22:00:30;SARA PERRY;Jon Stephens
HEAVENLY GUN;30/05/2005 0:28:12;08/06/2005 2:43:12;JERRY JORDON;Mike Hillyer
GHOST GROUNDHOG;30/05/2005 1:36:57;01/06/2005 22:44:57;NELSON CHRISTENSON;Mike Hillyer
DALMATIONS SWEDEN;30/05/2005 1:56:11;01/06/2005 6:34:11;FRED WHEAT;Jon Stephens
SUNRISE LEAGUE;30/05/2005 2:01:21;07/06/2005 3:25:21;HEATHER MORRIS;Mike Hillyer
SMOKING BARBARELLA;30/05/2005 2:48:32;06/06/2005 5:43:32;BRETT CORNWELL;Mike Hillyer
SHIP WONDERLAND;30/05/2005 4:19:55;31/05/2005 2:28:55;CYNTHIA YOUNG;Mike Hillyer
ROSES TREASURE;30/05/2005 4:22:06;03/06/2005 9:18:06;RAMONA HALE;Jon Stephens
OPERATION OPERATION;30/05/2005 4:25:47;06/06/2005 4:32:47;CLARENCE GAMEZ;Mike Hillyer
ZOOLANDER FICTION;30/05/2005 5:01:30;04/06/2005 6:22:30;WILLIAM SATTERFIELD;Jon Stephens
STRANGELOVE DESIRE;30/05/2005 5:03:04;06/06/2005 10:35:04;ALLAN CORNISH;Mike Hillyer
ZHIVAGO CORE;30/05/2005 5:15:20;07/06/2005 0:49:20;AARON SELBY;Jon Stephens
CENTER DINOSAUR;30/05/2005 6:15:36;02/06/2005 10:21:36;GLENDA FRAZIER;Mike Hillyer
TIES HUNGER;30/05/2005 6:41:32;31/05/2005 7:39:32;DONNA THOMPSON;Mike Hillyer
BOOGIE AMELIE;30/05/2005 7:13:14;06/06/2005 9:50:14;MARJORIE TUCKER;Mike Hillyer
ENOUGH RAGING;30/05/2005 7:14:53;31/05/2005 7:56:53;GRACE ELLIS;Jon Stephens
MOURNING PURPLE;30/05/2005 8:50:43;05/06/2005 10:58:43;LAURIE LAWRENCE;Mike Hillyer
SEATTLE EXPECATIONS;30/05/2005 9:38:41;07/06/2005 11:54:41;KIRK STCLAIR;Mike Hillyer
WAIT CIDER;30/05/2005 10:25:00;06/06/2005 6:23:00;DIANE COLLINS;Mike Hillyer
SPICE SORORITY;30/05/2005 10:43:38;08/06/2005 12:07:38;GLEN TALBERT;Mike Hillyer
QUEEN LUKE;30/05/2005 11:04:58;07/06/2005 13:22:58;FRED WHEAT;Jon Stephens
HAUNTING PIANIST;30/05/2005 11:20:27;02/06/2005 11:55:27;WENDY HARRISON;Mike Hillyer
VIETNAM SMOOCHY;30/05/2005 12:15:54;01/06/2005 8:53:54;IRENE PRICE;Jon Stephens
DRIVING POLISH;30/05/2005 12:16:40;31/05/2005 16:20:40;SALLY PIERCE;Jon Stephens
FORWARD TEMPLE;30/05/2005 14:47:31;04/06/2005 10:10:31;CATHERINE CAMPBELL;Jon Stephens
DISTURBING SCARFACE;30/05/2005 14:47:31;05/06/2005 9:53:31;DAVID ROYAL;Jon Stephens
EVERYONE CRAFT;30/05/2005 14:49:34;01/06/2005 19:00:34;ADAM GOOCH;Mike Hillyer
ENDING CROWDS;30/05/2005 15:01:02;01/06/2005 18:26:02;CHRISTIAN JUNG;Mike Hillyer
VALENTINE VANISHING;30/05/2005 15:05:47;08/06/2005 15:59:47;JORGE OLIVARES;Jon Stephens
APACHE DIVINE;30/05/2005 15:26:24;07/06/2005 18:09:24;MONICA HICKS;Jon Stephens
WITCHES PANIC;30/05/2005 15:36:57;04/06/2005 18:48:57;JOAN COOPER;Mike Hillyer
WARDROBE PHANTOM;30/05/2005 16:28:07;02/06/2005 16:12:07;PAUL TROUT;Jon Stephens
CHEAPER CLYDE;30/05/2005 17:30:28;07/06/2005 13:54:28;RAMONA HALE;Jon Stephens
CAPER MOTIONS;30/05/2005 17:58:03;01/06/2005 19:17:03;HOLLY FOX;Jon Stephens
CHICKEN HELLFIGHTERS;30/05/2005 18:53:21;04/06/2005 22:32:21;BECKY MILES;Jon Stephens
ANACONDA CONFESSIONS;30/05/2005 19:20:03;31/05/2005 18:17:03;MORRIS MCCARTER;Jon Stephens
ACADEMY DINOSAUR;30/05/2005 20:21:07;06/06/2005 0:36:07;NORMAN CURRIER;Mike Hillyer
HIGHBALL POTTER;30/05/2005 20:27:45;08/06/2005 22:47:45;JORGE OLIVARES;Jon Stephens
SECRETS PARADISE;30/05/2005 22:15:24;02/06/2005 16:18:24;JARED ELY;Mike Hillyer
FAMILY SWEET;30/05/2005 23:08:03;07/06/2005 0:22:03;NANCY THOMAS;Mike Hillyer
ROSES TREASURE;31/05/2005 0:16:57;01/06/2005 22:41:57;ALAN KAHN;Mike Hillyer
FOREVER CANDIDATE;31/05/2005 0:46:31;06/06/2005 6:14:31;JUDITH COX;Jon Stephens
CLEOPATRA DEVIL;31/05/2005 0:47:56;06/06/2005 19:51:56;JIMMY SCHRADER;Mike Hillyer
SWEET BROTHERHOOD;31/05/2005 0:53:25;04/06/2005 1:21:25;CLAYTON BARBEE;Jon Stephens
PRINCESS GIANT;31/05/2005 1:02:28;07/06/2005 1:36:28;KIMBERLY LEE;Jon Stephens
DAISY MENAGERIE;31/05/2005 1:18:56;01/06/2005 1:24:56;AUSTIN CINTRON;Jon Stephens
TELEGRAPH VOYAGE;31/05/2005 1:57:32;01/06/2005 6:50:32;JOYCE EDWARDS;Jon Stephens
